short_name,sequence,MOTA,IDF1,HOTA,MT,ML,FP,FN,Rcll,Prcn,AssA,DetA,AssRe,AssPr,DetRe,DetPr,LocA,FAR,IDSW,FM,Rcll,Prcn,runtime,IDP,IDR,IDSWR,detector
XJTU_priv,OVERALL,64.2994,66.6209,50.5445,626,174,40780,140565,72.8338,90.2356,50.8206,50.8656,54.6935,74.3986,56.3587,69.8242,78.4632,9.10471,3379,7405,72.8338,90.2356,135.73,74.5796,60.197,,1
XJTU_priv,MOT20-08,36.2475,47.7036,37.1284,46,51,14801,34056,56.0477,74.5814,38.9484,35.8877,42.6213,66.6758,43.1351,57.3989,76.3981,18.3635,541,763,56.0477,74.5814,135.73,55.5909,41.7764,,1
XJTU_priv,MOT20-07,75.6563,57.2538,50.9667,83,2,2564,4924,85.1243,91.6593,41.2219,63.8907,45.3905,72.618,71.3721,76.8514,83.7114,4.38291,570,723,85.1243,91.6593,135.73,59.4515,55.2128,,1
XJTU_priv,MOT20-06,48.5571,53.1018,40.831,77,87,8096,59011,55.5496,90.1078,41.7004,40.2812,45.0423,71.2201,43.6176,70.7528,78.8836,8.03175,1187,2663,55.5496,90.1078,135.73,69.6195,42.919,,1
XJTU_priv,MOT20-04,78.4832,78.2668,57.5265,420,34,15319,42574,84.4668,93.7937,56.3324,59.1473,60.1639,75.5743,64.4552,71.5724,77.9916,7.3649,1081,3256,84.4668,93.7937,135.73,82.5879,74.3754,,1
UTM_private,OVERALL,78.2176,76.8636,62.4688,874,107,29964,81516,84.2459,93.5682,61.4114,63.7461,67.7334,76.1522,69.9878,77.7324,83.5324,6.68989,1228,1342,84.2459,93.5682,6.2,81.1164,73.0346,,1
UTM_private,MOT20-08,60.9468,63.7993,50.3474,80,34,7187,22746,70.6443,88.394,50.9161,50.1016,56.2209,73.9344,56.7742,71.039,81.7016,8.91687,327,367,70.6443,88.394,6.2,71.8143,57.3938,,1
UTM_private,MOT20-07,82.3933,75.0761,64.4158,89,2,1953,3751,88.668,93.761,60.4696,69.0646,65.5093,76.5633,75.8403,80.1964,85.1362,3.33846,124,128,88.668,93.761,6.2,77.2322,73.0371,,1
UTM_private,MOT20-06,66.2519,65.0603,53.0299,143,53,7899,36399,72.5822,92.4235,51.9349,54.3221,57.8586,71.6768,59.6303,75.931,82.8322,7.83631,505,467,72.5822,92.4235,6.2,73.9528,58.0768,,1
UTM_private,MOT20-04,88.3915,85.5902,69.3234,562,18,12925,18620,93.2065,95.1842,67.0733,71.7871,73.8592,78.0328,78.0333,79.6891,83.9951,6.21394,272,380,93.2065,95.1842,6.2,86.4983,84.701,,1
UTM,OVERALL,64.3829,65.8976,53.3118,807,108,82726,98974,80.8719,83.4937,50.9631,56.0727,60.6287,65.6585,66.8583,69.0258,82.2905,18.4697,2592,1735,80.8719,83.4937,6.2,66.9658,64.863,,0
UTM,MOT20-08,48.792,55.9974,44.3707,75,32,15103,24050,68.9613,77.9637,43.8664,45.1823,52.5681,61.7074,55.2477,62.4599,80.0865,18.7382,525,455,68.9613,77.9637,6.2,59.6525,52.7644,,0
UTM,MOT20-07,62.7504,63.7189,53.2824,63,4,3971,8138,75.4146,86.2757,51.0338,56.3158,59.1571,67.4033,64.4787,73.7648,83.6878,6.78803,221,184,75.4146,86.2757,6.2,68.3072,59.7082,,0
UTM,MOT20-06,50.5261,59.5565,47.6304,123,54,22688,42113,68.2781,79.9809,48.536,46.9836,55.0921,66.969,56.1213,65.7404,81.1749,22.5079,879,628,68.2781,79.9809,6.2,64.6605,55.1993,,0
UTM,MOT20-04,75.6994,71.4628,58.0689,546,18,40964,24673,90.998,85.8927,53.1178,63.7229,64.2206,65.6034,75.6287,71.3857,83.0324,19.6942,967,468,90.998,85.8927,6.2,69.4581,73.5866,,0
UnsupTrack,OVERALL,53.633,50.5592,41.6734,376,311,6439,231298,55.2983,97.7991,40.2369,43.3185,43.2107,75.9211,45.1151,79.7958,82.5709,1.4376,2178,4335,55.2983,97.7991,3467.3,69.9884,39.5734,39.3864,0
UnsupTrack,MOT20-08,23.9598,28.988,24.1185,11,106,1936,56628,26.9165,91.5058,28.5431,20.5608,30.7573,71.7802,21.3683,72.6535,80.1577,2.40199,355,780,26.9165,91.5058,3467.3,63.768,18.7574,13.1889,0
UnsupTrack,MOT20-07,49.781,47.1298,38.2191,23,25,140,16310,50.7266,99.1731,36.904,39.9854,39.6898,75.9085,41.4118,80.9624,83.0336,0.239316,173,357,50.7266,99.1731,3467.3,69.6356,35.6183,3.41044,0
UnsupTrack,MOT20-06,31.4665,32.0349,25.8478,24,124,1796,88455,33.3707,96.104,26.1716,25.6617,27.8229,71.9207,26.5191,76.3935,80.8721,1.78175,732,1546,33.3707,96.104,3467.3,62.1459,21.5793,21.9354,0
